n   error 
253   1.97608973774035914354523773846920593E-0003
254   1.95903633691709324565970230382641040E-0003
255   1.95029634778575564178754395106446429E-0003
256   1.94946902475016523168344582011726266E-0003
257   1.94658265354519244283437728881835938E-0003
258   1.93518108292945641572781285159739436E-0003
259   1.92901162269827052095705597068704665E-0003
260   1.90810718218294217483054880567664390E-0003
261   1.91264271898713161254070214265904739E-0003
262   1.90007852148243592277205758096119474E-0003
263   1.90126252692419857378919032492367849E-0003
264   1.89131406609549937268704562432683792E-0003
265   1.87426221522111770644770290350236463E-0003
266   1.87492248851868256677211328264063994E-0003
267   1.86278280413962984457085539510342832E-0003
268   1.86657432955497360224141155411425506E-0003
269   1.85703598156319937373514190286326862E-0003
270   1.84000665427999101012166355203857909E-0003
271   1.84732335595355275890627679183811663E-0003
272   1.83855393931699387380281802792804132E-0003
273   1.82809177380269490001935859864971435E-0003
274   1.81790648439526477947259931693954629E-0003
275   1.81785229936465791688246632735080753E-0003
276   1.81738746446087833278435320893595012E-0003
277   1.79017735146601484668678006462827160E-0003
278   1.78356520614937031524958093048056376E-0003
279   1.78678403805529114610320458926249856E-0003
280   1.78318664240105314830951992307435976E-0003
281   1.75973674306189831422299754862881256E-0003
282   1.77259491481092824751243688414020455E-0003
283   1.74206937953695226894478629780791733E-0003
284   1.76490196974359618408683623770315554E-0003
285   1.75704968443762624081674253058515196E-0003
286   1.76113121351413486113215123884273444E-0003
287   1.74315322919313007184792115254719033E-0003
288   1.74034070252515053146735211271078888E-0003
289   1.71104067955223590503504246841239905E-0003
290   1.71812617573430151636862175053651555E-0003
291   1.70616638553234683205766711875744329E-0003
292   1.70618275443938373498732718115447718E-0003
293   1.70555580255117069536267447189757436E-0003
294   1.70282894429683599904287015414599298E-0003
295   1.67996889244831587849124963348968606E-0003
296   1.67476560401708033193770717937553264E-0003
297   1.69099249898379844109275377606546318E-0003
298   1.67863567486210849531115085934933346E-0003
299   1.66625870653240161244705246244537471E-0003
300   1.67303233488651555029412867808209252E-0003
301   1.67249791428653730286492241753474924E-0003
302   1.64700568429408623439831638495126506E-0003
303   1.64050073901539440766943478227722981E-0003
304   1.64870196056076136785178393351787077E-0003
305   1.63955631977240000322584960599355418E-0003
306   1.63893806214727915861503439095673155E-0003
307   1.62830100227649425053729918914733598E-0003
308   1.62959669858831395080818644399577193E-0003
309   1.61655783552492970780108666255115388E-0003
310   1.59860834887937179347728936561169516E-0003
